pl_name,star_id,hostname,pl_rade,pl_bmasse,pl_eqt,pl_eqt_computed,disc_year,discoverymethod,ra,dec,sy_dist,pl_orbper,pl_orbsmax,st_teff,st_rad,st_mass,st_met,sy_pnum
2MASS J02192210-3925225 b,1,2MASS J02192210-3925225,16.14096,4417.837,5.735715304827495,True,2015,Imaging,34.8427046,-39.4230767,,,156.0,3064.0,0.281,0.108,,1
55 Cnc e,2,55 Cnc,1.875,7.99,1782.7838023411402,True,2004,Radial Velocity,133.1468373,28.3298154,12.5855,0.7365474,0.01544,5172.0,0.943,0.905,0.35,7
BD+60 1417 b,3,BD+60 1417,14.68376472,4767.426105,1303.0,False,2021,Imaging,190.8875453,60.0143636,44.9543,,1662.0,4993.0,0.797,1.0,,1
BD-14 3065 b,4,BD-14 3065 A,21.59,3932.0,2001.0,False,2024,Transit,153.6696689,-15.6428372,589.423,4.2889731,0.0656,6935.0,2.35,1.41,-0.34,1
CFHTWIR-Oph 98 b,5,CFHTWIR-Oph 98 A,20.8487041,2479.0615746,1800.0,False,2021,Imaging,246.934277,-23.98115,,8040000.0,200.0,2320.0,0.245,0.0147,,1
CT Cha b,6,CT Cha,24.66,5403.0,2600.0,False,2007,Imaging,166.0375038,-76.4553693,190.72,,440.0,,,,,1
CoRoT-1 b,7,CoRoT-1,16.7,327.35,1898.0,False,2008,Transit,102.0798591,-3.1021394,787.909,1.5089557,,5950.0,1.11,0.95,-0.3,1
CoRoT-10 b,8,CoRoT-10,10.87,874.0,600.0,False,2010,Transit,291.0636813,0.7460143,338.386,13.2406,0.1055,5075.0,0.79,0.89,0.26,1
CoRoT-11 b,9,CoRoT-11,16.03,740.51,1657.0,False,2010,Transit,280.6872998,5.9376586,655.037,2.99433,0.0436,6440.0,1.37,1.27,-0.03,1
CoRoT-12 b,10,CoRoT-12,16.14,291.438,1442.0,False,2010,Transit,100.7656871,-1.2964437,1126.37,2.828042,0.04016,5675.0,1.116,1.078,0.16,1
CoRoT-13 b,11,CoRoT-13,9.92,415.704,1700.0,False,2010,Transit,102.7211432,-5.0864557,1148.93,4.03519,0.051,5945.0,1.01,1.09,0.01,1
CoRoT-14 b,12,CoRoT-14,12.22,2415.4,1952.0,False,2010,Transit,103.4242023,-5.5360385,1744.6,1.51214,0.027,6035.0,1.21,1.13,0.05,1
CoRoT-16 b,13,CoRoT-16,13.11,170.032,1093.5424739494276,True,2011,Transit,278.5246658,-6.0026026,732.409,5.35227,0.0618,5650.0,1.19,1.098,0.19,1
